ticker,entry_date,expiry_date,dte,stock_price_ref,strike,premium_ref,premium_ref_pct,premium_paid,weight,s3_period,premium_vix_scaled,premium_pct_vix_scaled,premium_vix_scaled,premium_pct_vix_scaled
XOM,2026-03-28,2026-04-24,27,148.45,148.0,4.05,2.728,,0.0714,2026-02-13,2.23,1.5,2.23,1.5
WMT,2026-03-28,2026-04-24,27,133.89,134.0,5.0,3.734,,0.0714,2026-02-13,2.75,2.054,2.75,2.054
KO,2026-03-28,2026-04-24,27,78.68,79.0,1.85,2.351,,0.0714,2026-02-13,1.02,1.293,1.02,1.293
MRK,2026-03-28,2026-04-24,27,121.41,121.0,3.36,2.767,,0.0714,2026-02-13,1.85,1.522,1.85,1.522
JNJ,2026-03-28,2026-04-24,27,243.45,245.0,7.12,2.925,,0.0714,2026-02-13,3.92,1.609,3.92,1.609
PG,2026-03-28,2026-04-24,27,160.07,160.0,3.15,1.968,,0.0714,2026-02-13,1.73,1.082,1.73,1.082
CVX,2026-03-28,2026-04-24,27,183.74,185.0,6.14,3.342,,0.0714,2026-02-13,3.38,1.838,3.38,1.838
ABBV,2026-03-28,2026-04-24,27,231.5,230.0,4.85,2.095,,0.0714,2026-02-13,2.67,1.152,2.67,1.152
COST,2026-03-28,2026-04-24,27,1018.48,1020.0,29.18,2.865,,0.0714,2026-02-13,16.05,1.576,16.05,1.576
TMO,2026-03-28,2026-04-24,27,618.72,620.0,16.0,2.586,,0.0714,2026-01-16,8.8,1.422,8.8,1.422
META,2026-03-28,2026-04-24,27,639.77,640.0,22.63,3.537,,0.0714,2026-02-13,12.45,1.945,12.45,1.945
HD,2026-03-28,2026-04-24,27,391.05,390.0,12.35,3.158,,0.0714,2026-02-13,6.79,1.737,6.79,1.737
LLY,2026-03-28,2026-04-24,27,1040.0,1040.0,40.35,3.88,,0.0714,2026-02-13,22.19,2.134,22.19,2.134
AAPL,2026-03-28,2026-04-24,27,255.78,255.0,7.15,2.795,,0.0714,2026-02-13,3.93,1.537,3.93,1.537
