ym,eq_pnl,spy_pnl,port_pnl,n_periods,cum_port,cum_eq,cum_spy
2020-09,0.0000,0.0000,0.0000,1,0.0000,0.0000,0.0000
2020-10,2.4485,0.7093,3.1578,1,3.1578,2.4485,0.7093
2020-11,14.0830,1.9853,16.0683,2,19.2261,16.5315,2.6946
2020-12,8.7139,0.5181,9.2320,1,28.4581,25.2454,3.2127
2021-01,1.1166,0.6048,1.7214,1,30.1795,26.3620,3.8175
2021-02,1.9024,0.7114,2.6138,1,32.7933,28.2644,4.5289
2021-03,-1.6508,0.4053,-1.2455,1,31.5478,26.6136,4.9342
2021-04,1.1260,0.3909,1.5169,1,33.0647,27.7396,5.3251
2021-05,-1.0482,0.5499,-0.4983,1,32.5664,26.6914,5.8750
2021-06,9.1333,0.3691,9.5024,1,42.0688,35.8247,6.2441
2021-07,2.3860,0.3214,2.7074,1,44.7762,38.2107,6.5655
2021-08,8.4117,0.3587,8.7704,1,53.5466,46.6224,6.9242
2021-09,2.9542,-4.7545,-1.8003,1,51.7463,49.5766,2.1697
2021-10,-0.6894,-6.7412,-7.4306,1,44.3157,48.8872,-4.5715
2021-11,10.1161,0.7227,10.8388,2,55.1545,59.0033,-3.8488
2021-12,-2.1259,-7.3667,-9.4926,1,45.6619,56.8774,-11.2155
2022-01,-2.3653,1.3051,-1.0602,1,44.6017,54.5121,-9.9104
2022-02,-2.8504,1.2652,-1.5852,1,43.0165,51.6617,-8.6452
2022-03,7.6778,1.3156,8.9934,1,52.0099,59.3395,-7.3296
2022-04,1.6917,-7.9436,-6.2519,1,45.7580,61.0312,-15.2732
2022-05,12.2199,1.1538,13.3737,1,59.1317,73.2511,-14.1194
2022-06,-2.5538,-1.0383,-3.5921,1,55.5396,70.6973,-15.1577
2022-07,4.2868,1.1279,5.4147,1,60.9543,74.9841,-14.0298
2022-08,-2.1924,-4.3811,-6.5735,1,54.3808,72.7917,-18.4109
2022-09,11.1332,1.2895,12.4227,1,66.8035,83.9249,-17.1214
2022-10,3.9137,-3.1699,0.7438,2,67.5473,87.8386,-20.2913
2022-11,2.9146,-1.9195,0.9951,1,68.5424,90.7532,-22.2108
2022-12,-3.9654,-3.7660,-7.7314,1,60.8110,86.7878,-25.9768
2023-01,4.8726,0.7374,5.6100,1,66.4210,91.6604,-25.2394
2023-02,3.1945,-1.9840,1.2105,1,67.6315,94.8549,-27.2234
2023-03,-1.8519,-3.9520,-5.8039,1,61.8276,93.0030,-31.1754
2023-04,1.4407,0.4100,1.8507,1,63.6783,94.4437,-30.7654
2023-05,9.0381,-4.3531,4.6850,1,68.3633,103.4818,-35.1185
2023-06,0.1412,0.4133,0.5545,1,68.9178,103.6230,-34.7052
2023-07,0.8072,0.4697,1.2769,1,70.1947,104.4302,-34.2355
2023-08,1.9860,0.5076,2.4936,1,72.6883,106.4162,-33.7279
2023-09,-0.1813,-4.5385,-4.7198,1,67.9685,106.2349,-38.2664
2023-10,-0.9663,-7.7865,-8.7528,2,59.2157,105.2686,-46.0529
2023-11,5.2372,0.3849,5.6221,1,64.8378,110.5058,-45.6680
2023-12,3.9889,0.4349,4.4238,1,69.2616,114.4947,-45.2331
2024-01,3.5974,0.4070,4.0044,1,73.2660,118.0921,-44.8261
2024-02,8.6847,0.5436,9.2283,1,82.4943,126.7768,-44.2825
2024-03,-0.5071,-1.0995,-1.6066,1,80.8877,126.2697,-45.3820
2024-04,-1.9981,-1.9831,-3.9812,1,76.9065,124.2716,-47.3651
2024-05,-1.3179,0.4648,-0.8531,1,76.0534,122.9537,-46.9003
2024-06,8.9452,0.4463,9.3915,1,85.4449,131.8989,-46.4540
2024-07,-3.4085,-6.3429,-9.7514,1,75.6935,128.4904,-52.7969
2024-08,-3.3402,-6.6858,-10.0260,1,65.6675,125.1502,-59.4827
2024-09,2.7184,1.6396,4.3580,2,70.0255,127.8686,-57.8431
2024-10,3.7456,1.1535,4.8991,1,74.9246,131.6142,-56.6896
2024-11,3.3461,0.4736,3.8197,1,78.7443,134.9603,-56.2160
2024-12,-2.7211,0.4246,-2.2965,1,76.4478,132.2392,-55.7914
2025-01,1.1323,0.9667,2.0990,1,78.5468,133.3715,-54.8247
2025-02,1.8910,-6.1735,-4.2825,1,74.2643,135.2625,-60.9982
2025-03,0.4851,1.5716,2.0567,1,76.3210,135.7476,-59.4266
2025-04,0.8275,-6.1177,-5.2902,1,71.0308,136.5751,-65.5443
2025-05,-2.7937,1.1696,-1.6241,1,69.4067,133.7814,-64.3747
2025-06,5.8758,1.1620,7.0378,1,76.4445,139.6572,-63.2127
2025-07,2.4904,1.2850,3.7754,1,80.2199,142.1476,-61.9277
2025-08,-1.6844,1.1409,-0.5435,1,79.6764,140.4632,-60.7868
2025-09,1.5099,2.1790,3.6889,2,83.3653,141.9731,-58.6078
2025-10,-0.0190,-1.2705,-1.2895,1,82.0758,141.9541,-59.8783
2025-11,-3.2476,-1.0709,-4.3185,1,77.7573,138.7065,-60.9492
2025-12,-0.9632,1.0338,0.0706,1,77.8279,137.7433,-59.9154
2026-01,0.8233,-0.1735,0.6498,1,78.4777,138.5666,-60.0889
2026-02,-0.7611,1.8086,1.0475,1,79.5252,137.8055,-58.2803
