period_start,n_tickers,option_pnl,mm_contrib,total_pnl,cumulative_pct,avg_premium_pct,tickers
2020-09-01,30,0.0000,0.0062,0.0062,0.0062,0.0000,AMZN|AAPL|MSFT|META|GOOGL|UNH|CRM|TSLA|V|ADBE|PG|MA|WMT|HD|ACN|DIS|NVDA|NFLX|JPM|JNJ|CMCSA|NKE|ABT|TMO|ORCL|NOW|BAC|PEP|KO|COST
2020-10-05,30,-0.9786,0.0061,-0.9725,-0.9663,1.0430,AMZN|AAPL|MSFT|META|UNH|GOOGL|CRM|V|TSLA|PG|ADBE|MA|HD|WMT|NVDA|ACN|DIS|NFLX|JPM|NKE|JNJ|CMCSA|ABT|TMO|ORCL|NOW|BAC|PEP|KO|COST
2020-11-02,30,-0.2977,0.0061,-0.2915,-1.2579,0.4151,AMZN|AAPL|MSFT|META|UNH|GOOGL|CRM|V|TSLA|PG|ADBE|WMT|HD|MA|ACN|DIS|NVDA|JPM|NFLX|NKE|TMO|JNJ|ABT|CMCSA|ORCL|NOW|BAC|PEP|KO|COST
2020-11-30,30,7.4888,0.0059,7.4948,6.2369,3.6208,AMZN|AAPL|MSFT|META|UNH|GOOGL|TSLA|V|CRM|PG|ADBE|WMT|MA|HD|DIS|ACN|JPM|NVDA|NKE|CMCSA|NFLX|JNJ|TMO|ABT|NOW|ORCL|BAC|QCOM|PEP|KO
2020-12-28,30,0.5270,0.0060,0.5330,6.7699,2.8309,AAPL|AMZN|MSFT|META|UNH|GOOGL|TSLA|V|CRM|DIS|ADBE|PG|MA|WMT|ACN|HD|JPM|NKE|NVDA|NFLX|CMCSA|JNJ|ORCL|TMO|ABT|BAC|NOW|QCOM|KO|PEP
2021-01-25,30,-0.3708,0.0060,-0.3648,6.4051,2.4973,AAPL|AMZN|MSFT|TSLA|META|GOOGL|UNH|V|CRM|DIS|PG|ADBE|MA|WMT|HD|JPM|ACN|NFLX|NVDA|JNJ|NKE|TMO|CMCSA|ABT|BAC|ORCL|QCOM|NOW|PEP|LLY
2021-02-22,30,-0.2572,0.0060,-0.2511,6.1540,1.6954,AMZN|AAPL|MSFT|META|GOOGL|TSLA|UNH|V|CRM|DIS|JPM|MA|ADBE|PG|HD|WMT|ACN|NVDA|NFLX|JNJ|NKE|CMCSA|BAC|ABT|ORCL|TMO|NOW|QCOM|KO|PEP
2021-03-22,30,1.5505,0.0061,1.5566,7.7106,1.2003,AAPL|AMZN|MSFT|META|GOOGL|UNH|TSLA|V|DIS|CRM|JPM|MA|PG|ADBE|HD|ACN|WMT|CMCSA|BAC|NKE|NVDA|JNJ|NFLX|ABT|ORCL|TMO|NOW|KO|PEP|QCOM
2021-04-19,30,-0.9013,0.0060,-0.8953,6.8153,2.4512,AAPL|AMZN|MSFT|META|GOOGL|UNH|TSLA|V|CRM|DIS|MA|ADBE|HD|JPM|PG|ACN|WMT|NVDA|BAC|ORCL|NFLX|CMCSA|JNJ|ABT|NKE|TMO|NOW|KO|PEP|QCOM
2021-05-17,30,-0.1934,0.0061,-0.1873,6.6280,1.0596,AMZN|AAPL|MSFT|META|GOOGL|UNH|TSLA|V|JPM|CRM|MA|HD|PG|DIS|ADBE|ACN|WMT|BAC|NVDA|ORCL|JNJ|CMCSA|NKE|ABT|NFLX|TMO|XOM|KO|PEP|COST
2021-06-14,30,1.9112,0.0061,1.9173,8.5453,1.6584,AMZN|AAPL|MSFT|META|GOOGL|UNH|TSLA|V|CRM|ADBE|JPM|DIS|MA|PG|HD|NVDA|ACN|WMT|BAC|ORCL|CMCSA|JNJ|NKE|NFLX|ABT|TMO|NOW|KO|INTU|XOM
2021-07-12,30,-0.1285,0.0060,-0.1225,8.4228,2.2642,AMZN|AAPL|MSFT|META|GOOGL|UNH|TSLA|V|ADBE|CRM|NVDA|DIS|JPM|MA|ACN|HD|PG|WMT|ORCL|NKE|BAC|CMCSA|JNJ|NFLX|TMO|ABT|NOW|INTU|KO|PEP
